size,lat,lon,price,name
2.92,41.54874,-72.80148,37352.54,MIDSTATE MEDICAL CENTER
4.23,41.03431,-73.63020,62460.71,GREENWICH HOSPITAL ASSOCIATION
2.95,41.75412,-72.67927,37904.98,HARTFORD HOSPITAL
2.39,41.78185,-72.52591,27190.50,MANCHESTER MEMORIAL HOSPITAL
4.02,41.20049,-73.20281,58281.48,ST VINCENT'S MEDICAL CENTER
3.97,41.40474,-73.44739,57365.13,DANBURY HOSPITAL
3.33,41.66107,-72.78671,45149.64,HOSPITAL OF CENTRAL CONNECTICUT, THE
3.44,39.15135,-75.52309,47296.25,BAYHEALTH - KENT GENERAL HOSPITAL
3.36,38.64231,-75.60660,45737.50,NANTICOKE MEMORIAL HOSPITAL
3.64,38.77159,-75.14210,51178.00,BEEBE MEDICAL CENTER
5.43,38.90106,-77.05079,85218.27,GEORGE WASHINGTON UNIV HOSPITAL
4.67,38.92944,-77.01473,70788.83,WASHINGTON HOSPITAL CENTER
5.16,30.34913,-81.66391,80175.36,SHANDS JACKSONVILLE MEDICAL CENTER
4.59,26.50479,-80.06979,69155.92,BETHESDA MEMORIAL HOSPITAL
6.06,28.52517,-81.37729,97352.77,ORLANDO HEALTH
5.89,25.68309,-80.34038,94110.00,BAPTIST HOSPITAL OF MIAMI INC
7.61,25.78846,-80.21644,127037.74,UNIVERSITY OF MIAMI HOSPITAL
4.15,29.20117,-81.05828,60877.07,HALIFAX HEALTH MEDICAL CENTER
3.56,26.15053,-81.79919,49507.91,NAPLES COMMUNITY HOSPITAL
4.42,25.79143,-80.21250,66029.91,JACKSON MEMORIAL HOSPITAL
5.83,28.83363,-82.33561,93019.94,CITRUS MEMORIAL HOSPITAL
5.93,30.47650,-87.21219,94897.02,SACRED HEART HOSPITAL
3.44,30.15963,-85.64818,47291.86,BAY MEDICAL CENTER
6.82,25.86166,-80.21398,111840.12,NORTH SHORE MEDICAL CENTER
4.66,25.81317,-80.13996,70613.08,MOUNT SINAI MEDICAL CENTER
4.59,26.01867,-80.17981,69246.00,MEMORIAL REGIONAL HOSPITAL
5.33,30.30835,-81.68919,83476.39,ST VINCENT'S MEDICAL CENTER
4.71,27.19837,-80.24306,71600.71,MARTIN MEMORIAL MEDICAL CENTER
5.65,28.26092,-82.18802,89457.09,FLORIDA HOSPITAL ZEPHYRHILLS
6.44,26.94042,-82.04094,104635.47,CHARLOTTE REGIONAL MEDICAL CENTER
4.33,29.17594,-82.13898,64318.59,MUNROE REGIONAL MEDICAL CENTER
4.69,29.24333,-81.10760,71237.12,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER
6.27,27.09043,-82.44499,101354.08,VENICE REGIONAL MEDICAL CENTER
6.47,28.53906,-82.44193,105140.86,BROOKSVILLE REGIONAL HOSPITAL
5.78,26.18711,-80.11941,92036.18,HOLY CROSS HOSPITAL INC
6.21,26.59805,-80.09271,100194.67,JFK MEDICAL CENTER
3.72,28.80659,-81.86906,52537.13,LEESBURG REGIONAL MEDICAL CENTER
4.34,30.31525,-81.66398,64539.33,BAPTIST MEDICAL CENTER
4.47,28.33522,-80.72319,66960.90,WUESTHOFF MEDICAL CENTER  ROCKLEDGE
3.90,30.43066,-87.23191,56112.68,BAPTIST HOSPITAL
3.09,27.65832,-80.39307,40617.65,INDIAN RIVER MEDICAL CENTER
3.55,29.64155,-82.34844,49436.62,SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA
3.56,30.26389,-81.44283,49537.91,MAYO CLINIC
7.39,25.70328,-80.29391,122837.84,SOUTH MIAMI HOSPITAL, INC
4.70,28.06172,-81.95304,71370.50,LAKELAND REGIONAL MEDICAL CENTER
4.57,28.81611,-81.28351,68952.21,CENTRAL FLORIDA REGIONAL HOSPITAL
5.13,27.30187,-82.45428,79516.48,DOCTORS HOSPITAL OF SARASOTA
4.16,28.36005,-80.62309,61028.57,CAPE CANAVERAL HOSPITAL
4.83,26.26259,-80.20292,73910.18,NORTHWEST MEDICAL CENTER
5.35,25.73195,-80.38580,83814.64,KENDALL REGIONAL MEDICAL CENTER
4.64,27.48213,-82.62126,70155.18,BLAKE MEDICAL CENTER
6.22,26.12354,-80.25951,100353.11,WESTSIDE REGIONAL MEDICAL CENTER
3.62,29.64481,-81.69431,50704.80,PUTNAM COMMUNITY MEDICAL CENTER
6.39,27.93259,-82.28759,103725.56,BRANDON REGIONAL HOSPITAL
5.49,27.43392,-80.34350,86371.23,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE
4.36,26.92138,-80.09708,64824.64,JUPITER MEDICAL CENTER
6.06,28.36128,-82.68883,97422.51,REGIONAL MEDICAL CENTER BAYONET POINT
4.97,26.43709,-80.12728,76522.65,DELRAY MEDICAL CENTER
5.30,27.28861,-80.29431,82870.23,ST LUCIE MEDICAL CENTER
5.64,28.53585,-82.53404,89229.55,OAK HILL HOSPITAL
3.91,28.03957,-82.70875,56249.24,MEASE COUNTRYSIDE HOSPITAL
4.05,26.94996,-82.32651,58981.53,ENGLEWOOD COMMUNITY HOSPITAL
4.52,26.01394,-80.30980,67887.57,MEMORIAL HOSPITAL WEST
7.71,26.21388,-81.73257,128929.53,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE
3.45,26.08155,-80.36449,47504.85,CLEVELAND CLINIC HOSPITAL
3.87,34.78963,-84.98398,55521.00,HAMILTON MEDICAL CENTER
3.11,31.22516,-82.34898,40902.67,SATILLA REGIONAL MEDICAL CENTER
2.68,33.79230,-84.32107,32781.96,EMORY UNIVERSITY HOSPITAL
3.05,33.03204,-85.05781,39835.17,WEST GEORGIA MEDICAL CENTER
4.34,33.47096,-81.98176,64552.75,UNIVERSITY HOSPITAL
4.42,34.30335,-83.81737,65966.05,NORTHEAST GEORGIA MEDICAL CENTER, INC
6.55,33.47091,-81.98988,106686.91,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS
4.12,33.96770,-84.55011,60222.96,WELLSTAR KENNESTONE HOSPITAL
3.57,33.96117,-83.39832,49779.04,ATHENS REGIONAL MEDICAL CENTER
2.69,33.76810,-84.38616,32947.04,EMORY UNIVERSITY HOSPITAL MIDTOWN
3.96,33.90877,-84.35180,57145.00,SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC
3.73,32.83041,-83.63476,52754.16,MEDICAL CENTER OF CENTRAL GEORGIA
2.82,30.86250,-83.28630,35396.19,SOUTH GEORGIA MEDICAL CENTER
3.76,33.85638,-84.60446,53386.41,WELLSTAR COBB HOSPITAL
3.84,32.84705,-83.61823,54986.50,COLISEUM MEDICAL CENTER
4.02,21.30780,-157.85505,58322.80,THE QUEENS MEDICAL CENTER
3.20,21.30226,-157.85092,42762.05,STRAUB CLINIC AND HOSPITAL
2.66,43.61218,-116.19234,32452.05,ST LUKES REGIONAL MEDICAL CENTER
4.54,43.46987,-111.99208,68257.89,EASTERN IDAHO REGIONAL MEDICAL CENTER
5.00,42.06550,-87.68428,77049.25,EVANSTON HOSPITAL
4.96,40.75318,-89.59321,76309.50,PROCTOR HOSPITAL
4.06,39.93563,-91.39833,59187.69,BLESSING HOSPITAL
3.83,41.72930,-88.26976,54684.64,COPLEY MEMORIAL HOSPITAL
4.29,41.80160,-89.69714,63464.18,CGH MEDICAL CENTER
3.59,38.32292,-88.91026,50151.62,GOOD SAMARITAN REGIONAL HLTH CENTER
5.31,42.05624,-87.74012,82939.19,SKOKIE HOSPITAL
4.19,39.80726,-89.64496,61603.81,ST JOHNS HOSPITAL
3.50,41.83195,-87.79266,48464.82,MACNEAL  HOSPITAL
3.37,41.66900,-87.81414,45891.30,PALOS COMMUNITY HOSPITAL
3.08,40.98818,-90.36374,40324.08,ST MARY MEDICAL CENTER
5.84,40.70200,-89.59222,93157.70,SAINT FRANCIS MEDICAL CENTER
12.00,42.37840,-87.83329,210863.78,VISTA MEDICAL CENTER EAST
7.60,41.78829,-87.60485,126766.58,THE UNIVERSITY OF CHICAGO MEDICAL CENTER
3.69,41.36897,-88.42537,52035.45,MORRIS HOSPITAL & HEALTHCARE CENTERS
3.97,40.11739,-88.22714,57371.86,PROVENA COVENANT MEDICAL CENTER- URBANA
5.04,41.97532,-87.69958,77888.33,SWEDISH COVENANT HOSPITAL
3.57,42.31832,-88.27920,49747.16,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL
5.87,41.80555,-87.92059,93694.65,HINSDALE HOSPITAL
4.14,40.49639,-88.99106,60659.44,BROMENN HEALTHCARE
3.08,41.84639,-87.62345,40319.76,MERCY HOSPITAL AND MEDICAL CENTER
2.83,37.72790,-89.22058,35570.12,MEMORIAL HOSPITAL OF CARBONDALE
2.83,39.82659,-88.93119,35602.91,ST MARYS HOSPITAL
4.53,41.72094,-87.69220,68004.22,LITTLE COMPANY OF MARY HOSPITAL
4.65,41.90414,-87.68254,70394.67,ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS
4.87,41.12572,-87.88526,74635.12,RIVERSIDE MEDICAL CENTER
5.40,41.86362,-87.93567,84749.69,ELMHURST MEMORIAL HOSPITAL
4.86,42.27447,-87.95764,74350.36,ADVOCATE CONDELL MEDICAL CENTER
4.30,41.72031,-87.73249,63797.24,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER
4.84,41.88566,-88.34311,73974.11,DELNOR COMMUNITY HOSPITAL
5.39,42.03576,-88.32575,84489.23,PROVENA - SAINT JOSEPH HOSPITAL
4.60,42.03837,-87.84820,69399.96,ADVOCATE LUTHERAN GENERAL HOSPITAL
3.95,41.93418,-87.63579,57054.29,SAINT JOSEPH HOSPITAL
5.26,42.26584,-89.07428,82109.56,SWEDISH AMERICAN HOSPITAL
4.62,42.26634,-89.00900,69895.08,SAINT ANTHONY MEDICAL CENTER
3.68,42.29844,-89.09897,51919.93,ROCKFORD MEMORIAL HOSPITAL
3.30,41.49581,-90.41871,44557.07,GENESIS MEDICAL CENTER ILLINI CAMPUS
3.75,41.48200,-90.57158,53274.72,TRINITY ROCK ISLAND
5.06,41.96185,-88.72130,78255.21,KISHWAUKEE COMMUNITY HOSPITAL
4.90,41.81791,-88.00907,75208.50,ADVOCATE GOOD SAMARITAN HOSPITAL
3.58,41.70639,-86.89936,49967.36,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY
3.77,41.70568,-85.93404,53568.36,ELKHART GENERAL HOSPITAL
3.86,41.51266,-87.26125,55347.80,ST MARY MEDICAL CENTER INC
6.19,41.46729,-87.05130,99887.58,PORTER VALPARAISO HOSPITAL
4.29,39.79009,-86.16260,63574.84,INDIANA UNIVERSITY HEALTH
3.42,37.98293,-87.57072,46902.43,DEACONESS HOSPITAL INC
3.81,39.91001,-86.19660,54277.06,ST VINCENT HOSPITAL & HEALTH SERVICES
4.30,40.19679,-85.41573,63663.61,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL
4.68,37.96320,-87.50292,70978.52,ST MARY'S MEDICAL CENTER OF EVANSVILLE INC
2.26,38.39499,-86.94089,24686.83,MEMORIAL HOSPITAL AND HEALTH CARE CENTER
3.82,39.94017,-86.15975,54617.88,ST VINCENT HEART CENTER OF INDIANA LLC
3.62,39.90201,-86.04478,50761.85,INDIANA HEART HOSPITAL THE
4.71,39.64935,-86.07960,71612.77,FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS
3.03,37.97481,-87.44457,39462.80,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC
3.25,38.33336,-85.75165,43692.50,KENTUCKIANA MEDICAL CENTER LLC
3.65,42.49388,-94.18926,51227.57,TRINITY REGIONAL MEDICAL CENTER
3.73,41.66411,-91.52841,52790.43,MERCY HOSPITAL
3.37,41.54190,-90.55691,46003.84,GENESIS MEDICAL CENTER-DAVENPORT
3.68,41.98570,-91.66093,51863.00,ST LUKES HOSPITAL
3.58,41.66092,-91.54800,49995.57,UNIVERSITY OF IOWA HOSPITAL & CLINICS
3.28,43.15063,-93.21718,44297.42,MERCY MEDICAL CENTER-NORTH IOWA
3.61,41.86141,-90.18921,50583.88,MERCY MEDICAL CENTER-CLINTON
4.26,41.59886,-93.62344,62917.84,MERCY MEDICAL CENTER-DES MOINES
3.28,42.49250,-96.39975,44301.00,MERCY MEDICAL CENTER-SIOUX CITY
3.24,38.87847,-99.29923,43426.83,HAYS MEDICAL CENTER
3.53,39.05660,-95.69599,49021.55,ST FRANCIS HEALTH CENTER INC
3.15,38.85279,-94.82413,41709.90,OLATHE MEDICAL CENTER
5.50,37.69556,-97.29785,86652.24,WESLEY MEDICAL CENTER
5.54,38.93763,-94.72630,87326.00,OVERLAND PARK REG MED CTR
3.00,37.73142,-97.26078,38802.41,GALICHIA HEART HOSPITAL LLC
3.91,39.07816,-84.46695,56217.09,ST ELIZABETH FT THOMAS
3.48,38.47021,-82.63498,47950.25,KING'S DAUGHTERS' MEDICAL CENTER
3.27,37.11784,-84.10910,44058.08,SAINT JOSEPH HOSPITAL LONDON
2.43,36.60798,-88.30957,28052.43,MURRAY-CALLOWAY COUNTY HOSPITAL
4.23,39.06704,-84.49946,62436.38,ST ELIZABETH MEDICAL CENTER NORTH
3.37,37.76518,-87.10197,45896.64,OWENSBORO MEDICAL HEALTH SYSTEM
4.96,37.47264,-82.52605,76308.83,PIKEVILLE MEDICAL CENTER
3.29,37.33959,-87.48988,44393.45,REGIONAL MEDICAL CENTER OF HOPKINS COUNTY
4.88,38.01849,-84.51236,74762.83,CENTRAL BAPTIST HOSPITAL
5.37,37.08724,-84.61828,84173.47,LAKE CUMBERLAND REGIONAL HOSPITAL
5.68,30.20227,-92.01906,90172.29,LAFAYETTE GENERAL MEDICAL CENTER
3.30,29.59851,-90.71397,44611.64,TERREBONNE GENERAL MEDICAL CENTER
7.48,30.46813,-90.45814,124443.40,NORTH OAKS MEDICAL CENTER, LLC
4.07,31.28258,-92.46060,59274.78,CHRISTUS ST FRANCES CABRINI HOSPITAL
4.77,31.31451,-92.44997,72750.67,RAPIDES REGIONAL MEDICAL CENTER
3.11,30.40118,-91.11160,40994.93,OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER
3.28,30.45015,-91.15273,44270.69,BATON ROUGE GENERAL MEDICAL CENTER
3.73,32.48393,-93.77884,52800.97,WILLIS KNIGHTON MEDICAL CENTER
3.72,30.01438,-90.18155,52576.25,EAST JEFFERSON GENERAL HOSPITAL
3.95,30.17316,-92.02697,57002.00,HEART HOSPITAL OF LAFAYETTE
2.54,43.65159,-70.26482,30093.75,MERCY HOSPITAL
3.64,43.65325,-70.27533,51068.90,MAINE MEDICAL CENTER
3.73,44.10107,-70.21432,52838.28,CENTRAL MAINE MEDICAL CENTER
2.93,39.28817,-76.62438,37532.60,UNIVERSITY OF MARYLAND MEDICAL CENTER
2.48,38.93090,-76.92161,28989.17,PRINCE GEORGES HOSPITAL CENTER
2.10,39.01578,-77.03591,21627.62,HOLY CROSS HOSPITAL
2.08,39.38813,-76.61068,21214.70,SAINT JOSEPH MEDICAL CENTER
2.97,39.29688,-76.59242,38370.88,JOHNS HOPKINS HOSPITAL, THE
2.04,39.27352,-76.67219,20588.09,SAINT AGNES HOSPITAL
2.64,39.35262,-76.66196,31939.97,SINAI HOSPITAL OF BALTIMORE
2.23,39.35169,-76.47919,24191.12,FRANKLIN SQUARE HOSPITAL CENTER
2.03,38.36248,-75.59799,20332.13,PENINSULA REGIONAL MEDICAL CENTER
2.21,38.99014,-76.53398,23819.25,ANNE ARUNDEL MEDICAL CENTER
2.76,39.32930,-76.61432,34237.20,UNION MEMORIAL HOSPITAL
2.44,39.55808,-76.99107,28060.88,CARROLL HOSPITAL CENTER
2.18,38.76970,-76.07697,23136.21,MEMORIAL HOSPITAL AT EASTON
2.12,38.55963,-76.59455,21974.55,CALVERT MEMORIAL HOSPITAL
2.31,39.13732,-76.62228,25661.54,BALTIMORE WASHINGTON  MEDICAL CENTER
2.65,39.51870,-76.34688,32118.05,UPPER CHESAPEAKE MEDICAL CENTER
2.22,39.35962,-76.58851,23926.86,GOOD SAMARITAN HOSPITAL
2.31,39.09796,-77.19799,25667.95,SHADY GROVE ADVENTIST HOSPITAL
3.95,42.70912,-71.14877,56943.57,LAWRENCE GENERAL HOSPITAL
2.73,42.20038,-72.62762,33653.77,HOLYOKE MEDICAL CENTER
2.93,42.56407,-70.87543,37562.33,BEVERLY HOSPITAL CORPORATION
3.38,42.51078,-70.90712,46153.13,NORTH SHORE MEDICAL CENTER
4.10,42.34896,-71.14768,59807.87,ST ELIZABETH'S MEDICAL CENTER
2.91,42.64636,-71.34118,37203.45,LOWELL GENERAL HOSPITAL
2.48,42.46049,-71.06203,28853.57,HALLMARK HEALTH SYSTEM
4.69,42.36227,-71.06941,71161.07,MASSACHUSETTS GENERAL HOSPITAL
2.24,41.90456,-71.09562,24314.08,MORTON HOSPITAL
3.35,41.70928,-71.14519,45495.59,SOUTHCOAST HOSPITAL GROUP, INC
2.79,42.12077,-72.60525,34876.12,BAYSTATE MEDICAL CENTER
3.01,42.72846,-71.16830,39023.05,HOLY FAMILY HOSPITAL
2.89,42.17644,-70.95398,36691.74,SOUTH SHORE HOSPITAL
4.95,42.33600,-71.10704,76120.52,BRIGHAM AND WOMEN'S HOSPITAL
3.88,42.34951,-71.06331,55687.05,TUFTS MEDICAL CENTER
3.08,42.18869,-71.20197,40375.22,NORWOOD HOSPITAL
3.57,42.28385,-71.41896,49803.80,METROWEST MEDICAL CENTER
2.33,43.20588,-86.20839,26024.72,MERCY HEALTH PARTNERS, MERCY CAMPUS
3.98,42.45741,-83.20513,57500.14,PROVIDENCE HOSPITAL AND MEDICAL CENTERS
4.02,42.29077,-83.21504,58277.96,OAKWOOD HOSPITAL AND MEDICAL CENTER
3.37,42.61425,-83.27602,45862.04,ST JOSEPH MERCY OAKLAND
3.24,42.96881,-85.66649,43415.98,SPECTRUM HEALTH - BUTTERWORTH CAMPUS
3.24,43.58941,-83.86908,43459.92,MCLAREN BAY REGION
3.01,42.61490,-82.96060,38968.81,HENRY FORD MACOMB HOSPITAL
3.72,42.36762,-83.08461,52693.47,HENRY FORD HOSPITAL
4.70,43.42857,-83.95556,71337.44,COVENANT MEDICAL CENTER, INC
3.80,42.77487,-86.11378,54187.33,HOLLAND COMMUNITY HOSPITAL
4.03,43.42612,-83.94185,58502.83,ST MARY'S OF MICHIGAN MEDICAL CENTER
3.58,42.25117,-84.39240,49917.04,ALLEGIANCE HEALTH
2.49,42.21065,-83.14861,29116.28,HENRY FORD WYANDOTTE HOSPITAL
4.59,42.70417,-84.55488,69286.40,MCLAREN - GREATER LANSING
3.39,42.11695,-83.21365,46327.11,OAKWOOD SOUTHSHORE MEDICAL CENTER
4.33,42.89254,-83.63621,64303.88,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK
3.11,42.98625,-82.42802,40925.73,PORT HURON HOSPITAL
3.94,42.67850,-83.14771,56901.80,CRITTENTON HOSPITAL MEDICAL CENTER
4.53,42.61826,-83.09239,68126.56,WILLIAM BEAUMONT HOSPITAL-TROY
3.19,42.59290,-83.49920,42526.83,HURON VALLEY-SINAI HOSPITAL
3.18,46.79380,-92.09573,42233.35,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER
3.96,45.57390,-94.16942,57267.37,ST CLOUD HOSPITAL
3.76,46.79634,-92.08793,53469.46,ST LUKES HOSPITAL
4.95,44.95248,-93.26196,76127.48,ABBOTT NORTHWESTERN HOSPITAL
3.42,44.88645,-93.32693,46871.43,FAIRVIEW SOUTHDALE HOSPITAL
4.22,44.95570,-93.09429,62194.91,REGIONS HOSPITAL
4.17,45.18355,-93.36789,61134.50,MERCY HOSPITAL
4.21,45.10789,-93.25685,61914.25,UNITY HOSPITAL
3.32,34.24336,-88.71753,44986.80,NORTH MISSISSIPPI MEDICAL CENTER
4.13,34.34899,-89.52062,60525.47,BAPTIST MEMORIAL HOSPITAL NORTH MS
2.87,31.24000,-90.45000,36447.85,SOUTHWEST MS REGIONAL MEDICAL CENTER
3.75,33.52568,-88.42742,53262.55,BAPTIST MEM HOSP/GOLDEN TRIANGLE INC
2.90,32.31643,-90.17922,36872.33,MISSISSIPPI BAPTIST MEDICAL CENTER
3.48,32.37280,-88.69954,48002.25,ANDERSON REGIONAL MEDICAL CENTER
4.00,37.06032,-94.52747,58025.58,ST JOHN'S REGIONAL MEDICAL CENTER
3.71,38.63524,-90.26508,52454.67,BARNES JEWISH HOSPITAL
3.44,37.17999,-93.27409,47221.76,ST JOHN'S REGIONAL HEALTH CENTER
3.22,38.94903,-92.31563,43091.00,BOONE HOSPITAL CENTER
3.50,38.50661,-90.38025,48405.97,ST ANTHONY'S MEDICAL CENTER
4.04,38.63268,-90.31089,58817.33,SSM ST MARYS HEALTH CENTER
4.03,36.64970,-93.22138,58525.27,SKAGGS REGIONAL MEDICAL CENTER
8.31,39.04749,-94.34105,140333.00,CENTERPOINT MEDICAL CENTER OF INDEPENDENCE, LLC
