DRG Definition,Specialty,Common Name,Complications,DRG
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,Cardiology,Arrhythmia,1,309
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,Cardiology,Arrhythmia,0,310
312 - SYNCOPE & COLLAPSE,General,Fainting,0,312
313 - CHEST PAIN,Cardiology,Chest Pain,0,313
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,Cardiology,TEST,2,314
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,Cardiology,TEST,1,315
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,Gastroenterology,Major Intestinal Surgery,2,329
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,Gastroenterology,Major Intestinal Surgery,1,330
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,Gastroenterology,TEST,1,372
377 - G.I. HEMORRHAGE W MCC,Gastroenterology,Gastrointestinal Bleed,2,377
378 - G.I. HEMORRHAGE W CC,Gastroenterology,Gastrointestinal Bleed,1,378
379 - G.I. HEMORRHAGE W/O CC/MCC,Gastroenterology,Gastrointestinal Bleed,0,379
389 - G.I. OBSTRUCTION W CC,Gastroenterology,Gastrointestinal Obstruction,1,389
390 - G.I. OBSTRUCTION W/O CC/MCC,Gastroenterology,Gastrointestinal Obstruction,0,390
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",Gastroenterology,Esophagitis,2,391
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",Gastroenterology,Esophagitis,0,392
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,Gastroenterology,TEST,1,394
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,Gastroenterology,Laparoscopic Gall Bladder Removal,1,418
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,Gastroenterology,Laparoscopic Gall Bladder Removal,0,419
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,Gastroenterology,Pancreatic Disease,1,439
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,Orthopedic Surgery,Spinal Fusion (Non-Cervical),0,460
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,Orthopedic Surgery,Joint Replacement,2,469
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,Orthopedic Surgery,Joint Replacement,0,470
473 - CERVICAL SPINAL FUSION W/O CC/MCC,Orthopedic Surgery,Spinal Fusion (Cervical),0,473
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,Orthopedic Surgery,Hip & Leg Surgery (Excluding Joint Replacement),2,480
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,Orthopedic Surgery,Hip & Leg Surgery (Excluding Joint Replacement),1,481
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,Orthopedic Surgery,Hip & Leg Surgery (Excluding Joint Replacement),0,482
491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,Orthopedic Surgery,Back & Neck Spinal Fusion,0,491
536 - FRACTURES OF HIP & PELVIS W/O MCC,Orthopedic Surgery,Hip and Pelvic Fracture,0,536
552 - MEDICAL BACK PROBLEMS W/O MCC,Orthopedic Surgery,Back Pain/Disorders,0,552
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",Orthopedic Surgery,"Fracture, Sprain/Strain, Dislocation (Except Femur, Hip, Pelvis, Thigh)",0,563
602 - CELLULITIS W MCC,Infectious Disease,Celluitis,2,602
603 - CELLULITIS W/O MCC,Infectious Disease,Celluitis,0,603
638 - DIABETES W CC,Endocrinology,Diabetes,1,638
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",Endocrinology,Nutrition & Metabolic Disorder,2,640
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",Endocrinology,Nutrition & Metabolic Disorder,0,641
682 - RENAL FAILURE W MCC,Nephrology,Kidney Failure,2,682
683 - RENAL FAILURE W CC,Nephrology,Kidney Failure,1,683
684 - RENAL FAILURE W/O CC/MCC,Nephrology,Kidney Failure,0,684
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,Nephrology,Kidney/Urinary Tract Infection,2,689
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,Nephrology,Kidney/Urinary Tract Infection,0,689
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,Nephrology,TEST,0,698
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,Nephrology,TEST,0,699
811 - RED BLOOD CELL DISORDERS W MCC,Hematology,Red Blood Cell Disorder,2,811
812 - RED BLOOD CELL DISORDERS W/O MCC,Hematology,Red Blood Cell Disorder,0,812
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,Infectious Disease,Infectious Disease Requiring Surgery,2,853
870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,Infectious Disease,Severe Sepsis Requiring Mechanical Ventilation,0,879
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,Infectious Disease,Severe Sepsis,2,871
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,Infectious Disease,Severe Sepsis,0,872
885 - PSYCHOSES,Psychiatry,Psychosis,0,885
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,General,Alcohol or Drug Abuse,0,897
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,General,Poisoning,2,917
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,General,Poisoning,0,918
948 - SIGNS & SYMPTOMS W/O MCC,TEST,TEST,0,948
